Argyll V2.1.1
gsettings-desktop-schemas 3.36.1
gsfonts 20160531
gspell 1.8.3
gst-plugins-bad 1.16.2
gst-plugins-base 1.16.2
gstreamer 1.16.2
gtk+-2 24.32
gtk+-3 24.21
gtk-doc 1.32
gtk-vnc 1.0.0
gtk-xfce-engine 3.2.0
gtkhtml 4.10.0
gtkimageview 1.6.4
gtkmm 2.24.5
gtkmm3 3.24.2
gtksourceview 4.6.1
guile 3.0.4
guile-2 2.7
gvfs 1.44.1
harfbuzz 2.6.8
help2man 1.47.15
hexchat 2.14.3
hexedit 1.4.2
hicolor-icon-theme 0.17
htmldoc 1.9.9
htop 2.2.0
http-parser 2.9.4
httpd 2.4.43
hunspell 1.7.0
hwloc 2.0.2
hyphen 2.8.8
iceauth 1.0.8
ico 1.0.5
icon-naming-utils 0.8.90
icu-le-hb 1.0.3
icu4c 67-1
iftop 1.0pre4
ijs 0.35
imagesize 1.0.0
imake 1.0.8
imlib2 1.6.1
indent 2.2.12
inotify-tools 3.20.2
intel-tbb 2020.2
inxi 3.1.03-1
iotop 0.6
ipcalc 0.41
iperf3 3.7
isl 0.22.1
iso-codes 4.5.0
itstool 2.0.6
iw 5.4
jack 1.9.12
jansson 2.12
jasper 2.0.16
jbig2dec 0.18
jbigkit 2.1
jemalloc 5.2.1
jfsutils 1.1.15
joe 4.6
jq 1.6
json-glib 1.4.4
keyutils 1.5.10
ladspa_sdk 1.15
lame 3.100
lcdf-typetools 2.108
lcms2 2.11
leveldb 1.22
lftp 4.9.1
libFS 1.0.7
libICE 1.0.10
libIDL 0.8.14
libSM 1.2.3
libX11 1.6.7
libXScrnSaver 1.2.3
libXau 1.0.9
libXaw 1.0.13
libXcomposite 0.4.5
libXcursor 1.2.0
libXdamage 1.1.5
libXdmcp 1.1.3
libXext 1.3.4
libXfixes 5.0.3
libXfont 1.5.4
libXfont2 2.0.4
libXfontcache 1.0.5
libXft 2.3.3
libXi 1.7.9
libXinerama 1.1.4
libXmu 1.1.3
libXp 1.0.3
libXpm 3.5.13
libXrandr 1.5.2
libXrender 0.9.10
libXres 1.2.0
libXt 1.2.0
libXtst 1.2.3
libXv 1.0.11
libXvMC 1.0.12
libXxf86dga 1.1.4
libXxf86misc 1.0.3
libXxf86vm 1.1.4
libao 1.2.2
libarchive 3.4.3
libart_lgpl 2.3.21
libass 0.14.0
libassuan 2.5.3
libatasmart 0.19
libblockdev 2.24-1
libbonobo 2.32.1
libbonoboui 2.24.5
libbytesize 2.3
libcanberra 0.30
libcap-ng 0.7.10
libcddb 1.3.2
libcdio 2.1.0
libcdio-paranoia 10.2+2.0.0
libconfig 1.7.2
libcroco 0.6.13
libdatrie 0.2.12
libdmx 1.1.4
libdrm 2.4.102
libdvbpsi 1.3.2
libdvdcss 1.4.2
libdvdnav 6.1.0
libdvdread 6.1.1
libedit 20191231-3.1
libepoxy 1.5.4
libetpan 1.9.3
libev 4.33
libevdev 1.9.0
libevent 2.1.11
libexif 0.6.22
libfontenc 1.1.4
libgd 2.3.0
libgee 0.20.3
libglade 2.6.4
libglvnd 1.3.2
libgnome 2.32.1
libgnome-keyring 3.12.0
libgnomecanvas 2.30.3
libgnomeui 2.24.5
libgnt 2.14.0
libgphoto2 2.5.25
libgsf 1.14.47
libgudev 233
libgusb 0.3.4
libical 3.0.8
libid3tag 0.15.1b
libinput 1.15.6
libiscsi 1.19.0
libixion 0.15.0
libjpeg-turbo 2.0.5
libksba 1.4.0
libmad 0.15.1b
libmcrypt 2.5.8
libmicrohttpd 0.9.71
libmng 2.0.3
libmodplug 0.8.8.5
libmpcdec 1.2.6
libmspub 0.1.4
libmtp 1.1.17
libmypaint 1.6.1
libnet 1.1.6
libnfs 2.0.0
libnotify 0.7.9
libnumbertext 1.0.6
liboauth 1.0.3
libodfgen 0.1.7
libogg 1.3.4
liboil 0.3.17
libopenraw 0.1.3
liborcus 0.15.4
libosinfo 1.7.1
libpaper 1.1.28
libpciaccess 0.16
libpeas 1.26.0
libpng 1.6.37
libpsl 0.21.0
libpthread-stubs 0.4
libpwquality 1.4.2
librevenge 0.0.4
librsvg 2.48.7
libsamplerate 0.1.9
libseccomp 2.4.2
libsecret 0.20.3
libshout 2.4.3
libsigc++2 2.10.3
libsndfile 1.0.28
libsoup 2.70.0
libspatialaudio 0.3.0
libspnav 0.2.3
libssh 0.9.4
libssh2 1.9.0
libtasn1 4.16.0
libthai 0.1.28
libtheora 1.1.1
libtorrent 0.13.8
libunique 1.1.6
libunwind 1.3.1
